x,hump_amp,u_inflow,target_zeta,target_u,target_h,froude
0.0,0.0,0.5,0.018663236336216953,0.4996891394498602,30.018663236336216,0.029118549155454837
25.0,0.0,0.5,0.018663236336216953,0.4995736704744288,30.018663236336216,0.029111820393967782
50.0,0.0,0.5,0.018414119260659934,0.4995961727038652,30.018414119260658,0.029113252475670252
75.0,0.0,0.5,0.018409270796201502,0.4994842564327859,30.0184092707962,0.029106733065634813
100.0,0.0,0.5,0.018162684110544374,0.49950708359080953,30.018162684110543,0.02910818284078404
125.0,0.0,0.5,0.01815391753228325,0.4993995846831301,30.018153917532285,0.0291019227189403
150.0,0.0,0.5,0.017909896651279268,0.4994237090775812,30.01790989665128,0.02910344683242231
175.0,0.0,0.5,0.017899047018819468,0.49932009781195547,30.01789904701882,0.02909741424185173
200.0,0.0,0.5,0.017658122049235208,0.4993450062908283,30.017658122049234,0.02909898253537571
225.0,0.0,0.5,0.017646990341544655,0.4992435660122242,30.017646990341543,0.029093076568194477
250.0,0.0,0.5,0.017409549927830347,0.4992676076873842,30.01740954992783,0.029094592650075184
275.0,0.0,0.5,0.01739853035967402,0.499166406984974,30.017398530359674,0.029088700564510128
300.0,0.0,0.5,0.017164410518192643,0.4991876250032835,30.01716441051819,0.02909005047882861
325.0,0.0,0.5,0.017152142267666783,0.49908552738836703,30.017152142267665,0.029084106705935513
350.0,0.0,0.5,0.016920655073306444,0.49910265110142144,30.016920655073307,0.029085216737149696
375.0,0.0,0.5,0.016904955534058845,0.49899972257568187,30.01690495553406,0.029079226179855436
400.0,0.0,0.5,0.016675073949655807,0.49901284259105283,30.016675073949656,0.029080102103005327
425.0,0.0,0.5,0.016654018103160712,0.49891019606246056,30.01665401810316,0.029074130547418826
450.0,0.0,0.5,0.016424789470219595,0.4989206497486452,30.016424789470218,0.02907485075727789
475.0,0.0,0.5,0.016397535571820953,0.498819874754534,30.01639753557182,0.029068991240854516
500.0,0.0,0.5,0.01616886372552917,0.4988293969266881,30.01616886372553,0.02906965688034766
525.0,0.0,0.5,0.016136417910205775,0.49873173301138823,30.016136417910207,0.02906398115078451
550.0,0.0,0.5,0.01590954821680124,0.49874156716848017,30.0159095482168,0.02906466408328526
575.0,0.0,0.5,0.015874835805117792,0.49864727696134087,30.015874835805118,0.029059186030077715
600.0,0.0,0.5,0.015651788460755094,0.4986578087235443,30.015651788460755,0.029059907751404615
625.0,0.0,0.5,0.015618267460686636,0.498566182012456,30.015618267460688,0.029054584314019735
650.0,0.0,0.5,0.015400580561216898,0.4985769894469324,30.015400580561217,0.02905531949251767
675.0,0.0,0.5,0.015370116721447825,0.49848689289284503,30.01537011672145,0.029050083723177186
700.0,0.0,0.5,0.0151578653612055,0.49849701544240743,30.015157865361207,0.02905077634552344
725.0,0.0,0.5,0.0151296333714034,0.49840749498109127,30.015129633371405,0.02904557304570995
750.0,0.0,0.5,0.014921214324459057,0.49841596374537045,30.01492121432446,0.029046167423396493
775.0,0.0,0.5,0.014892255943934377,0.4983265863895786,30.014892255943934,0.029040972792126092
800.0,0.0,0.5,0.014684959383070332,0.49833294542278217,30.01468495938307,0.02904144366434477
825.0,0.0,0.5,0.014651587421840214,0.4982438293607643,30.01465158742184,0.029036266372736257
850.0,0.0,0.5,0.014442851552060784,0.4982480905510213,30.01444285155206,0.029036615670319607
875.0,0.0,0.5,0.014402257772349603,0.4981595869751821,30.01440225777235,0.02903147754200529
900.0,0.0,0.5,0.014191084098162136,0.49816173439728884,30.01419108409816,0.029031704818332976
925.0,0.0,0.5,0.014142794634738939,0.4980739923239987,30.01414279463474,0.02902661476509291
950.0,0.0,0.5,0.01393035163188706,0.49807382745878553,30.01393035163189,0.02902670788422816
975.0,0.0,0.5,0.01387665381311972,0.4979867359637464,30.01387665381312,0.02902165833412118
1000.0,0.0,0.5,0.01366558040425714,0.49798430508734176,30.013665580404258,0.029021618715411184
1025.0,0.0,0.5,0.013610342495461992,0.4978978604468323,30.01361034249546,0.029016607580596886
1050.0,0.0,0.5,0.013403351471277417,0.49789381363780794,30.01340335147128,0.0290164717969829
